Ubicación;Longitud;Latitud;Canton
Caserío El Matazano;13.622178;-89.280986;El Matazano
Condominio residencial El Encanto, Villas y Golf;13.596715;-89.273966;Las Dispensas
Complejo habitacional San José II;13.594924;-89.280703;Las Dispensas
Complejo habitacional San José I;13.594069;-89.282881;Las Dispensas
Condominio residencial Miramar;13.590159;-89.279158;Las Dispensas
Condominio Montecristo;13.589658;-89.273418;Las Dispensas
Lotificación Santa María I;13.587312;-89.283589;Las Dispensas
Lotificación Altos de la Casona;13.587374;-89.274963;Las Dispensas
Lotificación El Zapote;13.588052;-89.268032;Las Dispensas
Lotificación El Conacaste;13.584783;-89.268585;Las Dispensas
Lotificación Santa María II;13.582551;-89.265935;Las Dispensas
Lotificación Lomas de Villanueva;13.585841;-89.275123;Las Dispensas
Lotificación La Ceiba;13.582775;-89.274458;Las Dispensas
Pasaje Los Alfaro;13.584256;-89.280659;Las Dispensas
Lotificación Villas de San Carlos;13.585997;-89.28243;Las Dispensas
Lotificación Eleonor;13.585288;-89.281571;Las Dispensas
Lotificación El Establito;13.582285;-89.279544;Las Dispensas
Dispensas Centro;13.582994;-89.276743;Las Dispensas
Colonia Nueva Esperanza;13.58022;-89.28052;Las Dispensas
Lotificación San Gabriel;13.579813;-89.278203;Las Dispensas
Lotificación La Estanca;13.580272;-89.273042;Las Dispensas
Pasaje Los Rodeznos;13.579638;-89.268954;Las Dispensas
Casco Urbano;13.576757;-89.264598;
Caserío La Pedrera;13.575704;-89.262925;Casco Urbano
Lotificación San José;13.574254;-89.272473;Tula
Lotificación San José La Vega;13.573597;-89.269802;Tula
Caserío Los Palacios;13.572173;-89.264781;el Escalón
Comunidad La Fortaleza;13.573298;-89.283211;Las Dispensas
Caserío Los Guzmanes;13.57009;-89.267794;Tula
Caserío El Cementerio;13.570487;-89.261056;el Escalón
Caserío El Carmen;13.568369;-89.256807;el Escalón
Caserío Los Aguiluces;13.569903;-89.264693;el Escalón
Caserío La Serena;13.567462;-89.268995;Tula
Lotificación La Vega II;13.566732;-89.272407;Tula
Caserío Sosa;13.564354;-89.266742;El Escalón
Lotificación Veraneras II;13.56475;-89.263234;El Escalón
Lotificación Las Veraneras I;13.566397;-89.254936;El Escalón
Caserío Vía Delta;13.563373;-89.253176;El Escalón
Condominio Residencial Quintas Recreativas La Hacienda;13.558533;-89.259565;El Escalón
Caserío Espíritu Santo;13.556656;-89.26626;El Escalón
Caserío Tula;13.551995;-89.28201;Tula
Lotificación El Porvenir;13.55274;-89.290143;Tula
Caserío El Palomar;13.526112;-89.252928;El Palomar
Caserío Santa María El Banco;13.544637;-89.251705;el Escalón
Lotificación Josué;13.584567;-89.27939;Las Dispensas
Lotificaicón San Paulino;13.584948;-89.269809;Las Dispensas
Lotificación Arcos de Villanueva;13.584333;-89.272191;Las Dispensas
